,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2008-11-22,5,0.002,5,0.0,1190,0.001,0.936,6998000,6998000 ( 100.0% ),1114,1114 ( 100.0% ),6998000,1114,16
1,2008-11-23,4,0.002,4,0.0,1047,0.0,0.92,4715000,-2283000 ( -32.6% ),963,-151 ( -13.6% ),11713000,2077,16
2,2008-11-24,25,0.01,25,0.002,5524,0.003,0.856,18924000,14209000 ( 301.4% ),4731,3768 ( 391.3% ),30637000,6808,8
3,2008-11-25,64,0.026,64,0.006,12150,0.006,0.578,28114000,9190000 ( 48.6% ),7026,2295 ( 48.5% ),58751000,13834,8
4,2008-11-26,30,0.012,30,0.003,6289,0.003,0.709,17824000,-10290000 ( -36.6% ),4456,-2570 ( -36.6% ),76575000,18290,8
5,2008-11-27,12,0.005,12,0.001,3004,0.001,0.888,10676000,-7148000 ( -40.1% ),2669,-1787 ( -40.1% ),87251000,20959,9
6,2008-11-28,12,0.005,12,0.001,2879,0.001,0.885,12834000,2158000 ( 20.2% ),2548,-121 ( -4.5% ),100085000,23507,10
7,2008-11-29,196,0.07,573,0.046,94675,0.042,0.324,214188500,201354500 ( 1568.9% ),30684,28136 ( 1104.2% ),314273500,54191,6
8,2008-11-30,196,0.074,561,0.047,92542,0.043,0.391,255276500,41088000 ( 19.2% ),36183,5499 ( 17.9% ),569550000,90374,6
9,2008-12-01,17,0.007,17,0.002,3445,0.002,0.833,11476000,-243800500 ( -95.5% ),2869,-33314 ( -92.1% ),581026000,93243,10
10,2008-12-02,24,0.01,26,0.002,5098,0.003,0.818,16714000,5238000 ( 45.6% ),4170,1301 ( 45.3% ),597740000,97413,9
11,2008-12-03,345,0.138,2008,0.181,465321,0.23,0.087,252837000,236123000 ( 1412.7% ),40254,36084 ( 865.3% ),850577000,137667,1
12,2008-12-04,368,0.15,2165,0.193,506393,0.249,0.12,373569500,120732500 ( 47.8% ),60987,20733 ( 51.5% ),1224146500,198654,1
13,2008-12-05,367,0.151,2262,0.192,533907,0.25,0.154,537380500,163811000 ( 43.9% ),82029,21042 ( 34.5% ),1761527000,280683,1
14,2008-12-06,408,0.161,2440,0.193,572452,0.251,0.359,1360822000,823441500 ( 153.2% ),205785,123756 ( 150.9% ),3122349000,486468,1
15,2008-12-07,363,0.148,2302,0.191,551153,0.254,0.335,1261927500,-98894500 ( -7.3% ),184606,-21179 ( -10.3% ),4384276500,671074,1
16,2008-12-08,364,0.152,2190,0.202,520476,0.264,0.146,469955500,-791972000 ( -62.8% ),75901,-108705 ( -58.9% ),4854232000,746975,1
17,2008-12-09,375,0.154,2181,0.202,514546,0.262,0.167,533204000,63248500 ( 13.5% ),85712,9811 ( 12.9% ),5387436000,832687,1
18,2008-12-10,341,0.138,1955,0.188,406350,0.217,0.176,456175000,-77029000 ( -14.4% ),71448,-14264 ( -16.6% ),5843611000,904135,1
19,2008-12-11,351,0.142,1977,0.188,401394,0.213,0.204,519249500,63074500 ( 13.8% ),82023,10575 ( 14.8% ),6362860500,986158,1
20,2008-12-12,361,0.143,2131,0.193,436690,0.22,0.273,788798500,269549000 ( 51.9% ),119237,37214 ( 45.4% ),7151659000,1105395,1
21,2008-12-13,383,0.148,2366,0.201,499055,0.238,0.533,1756001500,967203000 ( 122.6% ),266204,146967 ( 123.3% ),8907660500,1371599,1
22,2008-12-14,385,0.151,2314,0.204,491100,0.243,0.478,1590838000,-165163500 ( -9.4% ),234944,-31260 ( -11.7% ),10498498500,1606543,1
23,2008-12-15,352,0.146,2112,0.205,447688,0.24,0.206,594094000,-996744000 ( -62.7% ),92181,-142763 ( -60.8% ),11092592500,1698724,1
24,2008-12-16,367,0.148,2121,0.206,449414,0.241,0.233,669100000,75006000 ( 12.6% ),104892,12711 ( 13.8% ),11761692500,1803616,1
25,2008-12-17,336,0.137,1768,0.16,370507,0.184,0.245,577869500,-91230500 ( -13.6% ),90911,-13981 ( -13.3% ),12339562000,1894527,1
26,2008-12-18,342,0.136,1793,0.157,373813,0.18,0.255,602628000,24758500 ( 4.3% ),95477,4566 ( 5.0% ),12942190000,1990004,1
27,2008-12-19,362,0.14,1893,0.158,407578,0.188,0.282,756260500,153632500 ( 25.5% ),115006,19529 ( 20.5% ),13698450500,2105010,1
28,2008-12-20,407,0.153,2120,0.167,483363,0.211,0.515,1647374500,891114000 ( 117.8% ),248789,133783 ( 116.3% ),15345825000,2353799,1
29,2008-12-21,367,0.146,2040,0.167,470636,0.212,0.492,1559802500,-87572000 ( -5.3% ),231762,-17027 ( -6.8% ),16905627500,2585561,1
30,2008-12-22,352,0.143,1904,0.168,439926,0.213,0.208,583436000,-976366500 ( -62.6% ),91613,-140149 ( -60.5% ),17489063500,2677174,1
31,2008-12-23,342,0.126,1860,0.158,394793,0.185,0.242,597469500,14033500 ( 2.4% ),95426,3813 ( 4.2% ),18086533000,2772600,1
32,2008-12-24,364,0.126,2165,0.16,459631,0.188,0.49,1444009500,846540000 ( 141.7% ),225180,129754 ( 136.0% ),19530542500,2997780,2
33,2008-12-25,377,0.128,2202,0.16,467094,0.189,0.788,2413059000,969049500 ( 67.1% ),368065,142885 ( 63.5% ),21943601500,3365845,2
34,2008-12-26,356,0.125,2116,0.162,471358,0.2,0.305,962545500,-1450513500 ( -60.1% ),143819,-224246 ( -60.9% ),22906147000,3509664,1
35,2008-12-27,384,0.132,2261,0.167,510025,0.21,0.513,1738693000,776147500 ( 80.6% ),261559,117740 ( 81.9% ),24644840000,3771223,1
36,2008-12-28,382,0.132,2183,0.168,498711,0.213,0.458,1543962500,-194730500 ( -11.2% ),228425,-33134 ( -12.7% ),26188802500,3999648,1
37,2008-12-29,350,0.125,2044,0.167,465922,0.211,0.222,664307000,-879655500 ( -57.0% ),103228,-125197 ( -54.8% ),26853109500,4102876,1
38,2008-12-30,325,0.12,1979,0.164,420351,0.196,0.237,636001000,-28306000 ( -4.3% ),99776,-3452 ( -3.3% ),27489110500,4202652,2
39,2008-12-31,345,0.12,2115,0.161,449481,0.192,0.353,1017769000,381768000 ( 60.0% ),158857,59081 ( 59.2% ),28506879500,4361509,2
40,2009-01-01,367,0.123,2092,0.163,437731,0.191,0.568,1685018500,667249500 ( 65.6% ),248492,89635 ( 56.4% ),30191898000,4610001,2
41,2009-01-02,348,0.12,2058,0.161,434980,0.191,0.307,900550500,-784468000 ( -46.6% ),133414,-115078 ( -46.3% ),31092448500,4743415,2
42,2009-01-03,371,0.122,2155,0.164,454021,0.195,0.452,1377662000,477111500 ( 53.0% ),205432,72018 ( 54.0% ),32470110500,4948847,2
43,2009-01-04,362,0.123,2060,0.165,431800,0.194,0.393,1143757000,-233905000 ( -17.0% ),169588,-35844 ( -17.4% ),33613867500,5118435,2
44,2009-01-05,338,0.12,1956,0.17,412113,0.2,0.163,435149000,-708608000 ( -62.0% ),67303,-102285 ( -60.3% ),34049016500,5185738,2
45,2009-01-06,336,0.12,1961,0.17,413884,0.2,0.17,451937000,16788000 ( 3.9% ),70535,3232 ( 4.8% ),34500953500,5256273,2
46,2009-01-07,341,0.121,1954,0.17,412705,0.2,0.166,439790500,-12146500 ( -2.7% ),68523,-2012 ( -2.9% ),34940744000,5324796,2
47,2009-01-08,315,0.111,1762,0.147,359484,0.168,0.179,411234000,-28556500 ( -6.5% ),64325,-4198 ( -6.1% ),35351978000,5389121,2
48,2009-01-09,323,0.113,1863,0.15,381986,0.171,0.198,506140500,94906500 ( 23.1% ),75463,11138 ( 17.3% ),35858118500,5464584,2
49,2009-01-10,349,0.116,1975,0.15,406572,0.173,0.442,1198140500,692000000 ( 136.7% ),179720,104257 ( 138.2% ),37056259000,5644304,2
50,2009-01-11,350,0.117,1902,0.152,390987,0.175,0.414,1079931000,-118209500 ( -9.9% ),161832,-17888 ( -10.0% ),38136190000,5806136,2
51,2009-01-12,325,0.114,1802,0.156,371664,0.178,0.142,335852000,-744079000 ( -68.9% ),52871,-108961 ( -67.3% ),38472042000,5859007,2
52,2009-01-13,326,0.115,1806,0.156,372659,0.178,0.146,346268500,10416500 ( 3.1% ),54243,1372 ( 2.6% ),38818310500,5913250,2
53,2009-01-14,327,0.115,1808,0.156,374020,0.179,0.141,336490000,-9778500 ( -2.8% ),52811,-1432 ( -2.6% ),39154800500,5966061,2
54,2009-01-15,328,0.116,1909,0.165,389866,0.187,0.145,360157000,23667000 ( 7.0% ),56601,3790 ( 7.2% ),39514957500,6022662,2
55,2009-01-16,338,0.119,2007,0.166,409524,0.188,0.165,453151000,92994000 ( 25.8% ),67740,11139 ( 19.7% ),39968108500,6090402,2
56,2009-01-17,350,0.118,2086,0.159,424451,0.182,0.38,1075065400,621914400 ( 137.2% ),161365,93625 ( 138.2% ),41043173900,6251767,1
57,2009-01-18,351,0.119,2000,0.16,407900,0.182,0.348,948586000,-126479400 ( -11.8% ),141817,-19548 ( -12.1% ),41991759900,6393584,1
58,2009-01-19,331,0.118,1924,0.171,393437,0.193,0.115,288767000,-659819000 ( -69.6% ),45238,-96579 ( -68.1% ),42280526900,6438822,2
59,2009-01-20,331,0.117,1914,0.169,390111,0.19,0.118,292087000,3320000 ( 1.1% ),46060,822 ( 1.8% ),42572613900,6484882,2
60,2009-01-21,336,0.119,1914,0.17,387166,0.19,0.116,285373500,-6713500 ( -2.3% ),44771,-1289 ( -2.8% ),42857987400,6529653,2
61,2009-01-22,256,0.093,1412,0.123,240351,0.117,0.155,234856500,-50517000 ( -17.7% ),37239,-7532 ( -16.8% ),43092843900,6566892,4
62,2009-01-23,258,0.094,1524,0.127,258428,0.121,0.184,317703000,82846500 ( 35.3% ),47561,10322 ( 27.7% ),43410546900,6614453,4
63,2009-01-24,268,0.095,1576,0.125,266611,0.119,0.364,650279000,332576000 ( 104.7% ),97022,49461 ( 104.0% ),44060825900,6711475,4
64,2009-01-25,266,0.094,1558,0.126,264087,0.12,0.349,631786000,-18493000 ( -2.8% ),92269,-4753 ( -4.9% ),44692611900,6803744,4
65,2009-01-26,270,0.096,1586,0.128,266371,0.121,0.551,1013907000,382121000 ( 60.5% ),146728,54459 ( 59.0% ),45706518900,6950472,4
66,2009-01-27,276,0.097,1568,0.128,264427,0.122,0.661,1168434000,154527000 ( 15.2% ),174797,28069 ( 19.1% ),46874952900,7125269,4
67,2009-01-28,259,0.094,1469,0.126,243810,0.117,0.327,505640500,-662793500 ( -56.7% ),79708,-95089 ( -54.4% ),47380593400,7204977,4
68,2009-01-29,245,0.089,1163,0.099,190727,0.091,0.245,291581500,-214059000 ( -42.3% ),46672,-33036 ( -41.4% ),47672174900,7251649,5
69,2009-01-30,252,0.092,1220,0.101,200338,0.093,0.255,332269500,40688000 ( 14.0% ),51176,4504 ( 9.7% ),48004444400,7302825,4
70,2009-01-31,270,0.094,1343,0.107,223707,0.1,0.548,794821500,462552000 ( 139.2% ),122480,71304 ( 139.3% ),48799265900,7425305,4
71,2009-02-01,275,0.096,1300,0.108,217527,0.101,0.431,612372500,-182449000 ( -23.0% ),93856,-28624 ( -23.4% ),49411638400,7519161,5
72,2009-02-02,254,0.092,1224,0.108,206670,0.102,0.149,192230000,-420142500 ( -68.6% ),30764,-63092 ( -67.2% ),49603868400,7549925,4
73,2009-02-03,258,0.094,1239,0.109,208882,0.103,0.149,192291000,61000 ( 0.0% ),31035,271 ( 0.9% ),49796159400,7580960,3
74,2009-02-04,258,0.093,1244,0.111,210657,0.104,0.142,186793000,-5498000 ( -2.9% ),29855,-1180 ( -3.8% ),49982952400,7610815,3
75,2009-02-05,235,0.088,1135,0.099,178576,0.087,0.143,159296000,-27497000 ( -14.7% ),25476,-4379 ( -14.7% ),50142248400,7636291,4
76,2009-02-06,244,0.091,1206,0.101,188996,0.088,0.149,184005500,24709500 ( 15.5% ),28075,2599 ( 10.2% ),50326253900,7664366,3
77,2009-02-07,248,0.088,1272,0.101,199945,0.089,0.318,421371000,237365500 ( 129.0% ),63550,35475 ( 126.4% ),50747624900,7727916,4
78,2009-02-08,250,0.089,1217,0.101,193588,0.09,0.299,382112500,-39258500 ( -9.3% ),57888,-5662 ( -8.9% ),51129737400,7785804,4
79,2009-02-09,243,0.089,1137,0.101,180875,0.089,0.109,125363500,-256749000 ( -67.2% ),19716,-38172 ( -65.9% ),51255100900,7805520,4
80,2009-02-10,246,0.09,1122,0.101,177335,0.088,0.12,133615000,8251500 ( 6.6% ),21221,1505 ( 7.6% ),51388715900,7826741,4
81,2009-02-11,247,0.088,1123,0.101,177525,0.088,0.113,125639500,-7975500 ( -6.0% ),20045,-1176 ( -5.5% ),51514355400,7846786,4
82,2009-02-12,204,0.07,722,0.064,103479,0.051,0.164,100873000,-24766500 ( -19.7% ),16974,-3071 ( -15.3% ),51615228400,7863760,6
83,2009-02-13,210,0.072,756,0.064,108364,0.051,0.167,113993500,13120500 ( 13.0% ),18114,1140 ( 6.7% ),51729221900,7881874,6
84,2009-02-14,214,0.07,796,0.063,115104,0.051,0.36,267659000,153665500 ( 134.8% ),41413,23299 ( 128.6% ),51996880900,7923287,8
85,2009-02-15,213,0.07,769,0.064,111372,0.051,0.294,213612500,-54046500 ( -20.2% ),32752,-8661 ( -20.9% ),52210493400,7956039,8
86,2009-02-16,215,0.076,764,0.069,114617,0.057,0.123,86880000,-126732500 ( -59.3% ),14142,-18610 ( -56.8% ),52297373400,7970181,6
87,2009-02-17,215,0.076,774,0.07,117221,0.059,0.149,103421500,16541500 ( 19.0% ),17491,3349 ( 23.7% ),52400794900,7987672,5
88,2009-02-18,215,0.076,776,0.07,117930,0.059,0.148,103126000,-295500 ( -0.3% ),17396,-95 ( -0.5% ),52503920900,8005068,5
89,2009-02-19,140,0.052,405,0.036,58076,0.029,0.168,59128500,-43997500 ( -42.7% ),9763,-7633 ( -43.9% ),52563049400,8014831,9
90,2009-02-20,140,0.052,430,0.036,59323,0.028,0.186,66125500,6997000 ( 11.8% ),11007,1244 ( 12.7% ),52629174900,8025838,9
91,2009-02-21,142,0.049,474,0.037,65949,0.029,0.279,118315000,52189500 ( 78.9% ),18422,7415 ( 67.4% ),52747489900,8044260,9
92,2009-02-22,144,0.05,456,0.037,64609,0.03,0.286,120135000,1820000 ( 1.5% ),18451,29 ( 0.2% ),52867624900,8062711,9
93,2009-02-23,147,0.055,433,0.039,64137,0.032,0.161,55399500,-64735500 ( -53.9% ),10308,-8143 ( -44.1% ),52923024400,8073019,9
94,2009-02-24,148,0.055,443,0.039,66734,0.033,0.167,59419500,4020000 ( 7.3% ),11136,828 ( 8.0% ),52982443900,8084155,9
95,2009-02-25,150,0.056,457,0.041,70120,0.035,0.177,64590000,5170500 ( 8.7% ),12388,1252 ( 11.2% ),53047033900,8096543,9
96,2009-02-26,95,0.034,278,0.024,41923,0.02,0.257,51136500,-13453500 ( -20.8% ),10760,-1628 ( -13.1% ),53098170400,8107303,11
97,2009-02-27,96,0.034,294,0.024,43119,0.02,0.234,50281500,-855000 ( -1.7% ),10074,-686 ( -6.4% ),53148451900,8117377,11
98,2009-02-28,99,0.033,324,0.025,43028,0.018,0.314,87009000,36727500 ( 73.0% ),13531,3457 ( 34.3% ),53235460900,8130908,12
99,2009-03-01,102,0.035,318,0.026,44280,0.02,0.258,75591500,-11417500 ( -13.1% ),11435,-2096 ( -15.5% ),53311052400,8142343,12
100,2009-03-02,89,0.033,252,0.024,35291,0.018,0.083,17868000,-57723500 ( -76.4% ),2930,-8505 ( -74.4% ),53328920400,8145273,11
101,2009-03-03,93,0.034,285,0.027,40416,0.021,0.131,30149000,12281000 ( 68.7% ),5301,2371 ( 80.9% ),53359069400,8150574,9
102,2009-03-04,94,0.035,276,0.027,39384,0.021,0.087,20143000,-10006000 ( -33.2% ),3418,-1883 ( -35.5% ),53379212400,8153992,10
103,2009-03-05,62,0.023,181,0.017,27335,0.015,0.088,13589500,-6553500 ( -32.5% ),2411,-1007 ( -29.5% ),53392801900,8156403,12
104,2009-03-06,67,0.024,208,0.019,29797,0.015,0.097,17072500,3483000 ( 25.6% ),2880,469 ( 19.5% ),53409874400,8159283,12
105,2009-03-07,70,0.023,244,0.02,34478,0.016,0.195,44623000,27550500 ( 161.4% ),6709,3829 ( 133.0% ),53454497400,8165992,12
106,2009-03-08,70,0.024,236,0.02,33696,0.016,0.224,49333500,4710500 ( 10.6% ),7533,824 ( 12.3% ),53503830900,8173525,14
107,2009-03-09,66,0.025,196,0.02,30762,0.017,0.103,16522500,-32811000 ( -66.5% ),3162,-4371 ( -58.0% ),53520353400,8176687,11
108,2009-03-10,66,0.025,204,0.021,31779,0.018,0.135,21975000,5452500 ( 33.0% ),4293,1131 ( 35.8% ),53542328400,8180980,7
109,2009-03-11,67,0.024,190,0.019,28229,0.016,0.12,19328000,-2647000 ( -12.0% ),3399,-894 ( -20.8% ),53561656400,8184379,9
110,2009-03-12,43,0.017,133,0.012,19549,0.01,0.098,11470500,-7857500 ( -40.7% ),1923,-1476 ( -43.4% ),53573126900,8186302,10
111,2009-03-13,45,0.017,149,0.013,21119,0.01,0.094,11971000,500500 ( 4.4% ),1988,65 ( 3.4% ),53585097900,8188290,11
112,2009-03-14,53,0.019,175,0.013,23898,0.01,0.26,38956000,26985000 ( 225.4% ),6204,4216 ( 212.1% ),53624053900,8194494,11
113,2009-03-15,53,0.019,165,0.013,22586,0.01,0.209,30393000,-8563000 ( -22.0% ),4721,-1483 ( -23.9% ),53654446900,8199215,11
114,2009-03-16,45,0.018,135,0.013,20877,0.011,0.062,7876000,-22517000 ( -74.1% ),1284,-3437 ( -72.8% ),53662322900,8200499,11
115,2009-03-17,47,0.019,143,0.013,21746,0.011,0.074,9115000,1239000 ( 15.7% ),1616,332 ( 25.9% ),53671437900,8202115,10
116,2009-03-18,45,0.018,134,0.013,20875,0.011,0.062,7456500,-1658500 ( -18.2% ),1289,-327 ( -20.2% ),53678894400,8203404,11
117,2009-03-19,38,0.015,96,0.009,13469,0.007,0.066,4987500,-2469000 ( -33.1% ),893,-396 ( -30.7% ),53683881900,8204297,14
118,2009-03-20,38,0.015,96,0.008,13578,0.006,0.073,5792500,805000 ( 16.1% ),992,99 ( 11.1% ),53689674400,8205289,13
119,2009-03-21,39,0.014,124,0.01,16554,0.007,0.159,17459000,11666500 ( 201.4% ),2636,1644 ( 165.7% ),53707133400,8207925,15
120,2009-03-22,38,0.014,121,0.01,16065,0.007,0.211,21778500,4319500 ( 24.7% ),3391,755 ( 28.6% ),53728911900,8211316,14
121,2009-03-23,37,0.015,93,0.009,14040,0.007,0.051,4133000,-17645500 ( -81.0% ),712,-2679 ( -79.0% ),53733044900,8212028,13
122,2009-03-24,34,0.014,91,0.009,13280,0.007,0.041,3387500,-745500 ( -18.0% ),539,-173 ( -24.3% ),53736432400,8212567,14
123,2009-03-25,38,0.015,100,0.01,14566,0.008,0.046,4246500,859000 ( 25.4% ),671,132 ( 24.5% ),53740678900,8213238,14
124,2009-03-26,26,0.011,68,0.006,8563,0.004,0.04,2114000,-2132500 ( -50.2% ),342,-329 ( -49.0% ),53742792900,8213580,18
125,2009-03-27,27,0.011,79,0.007,10079,0.005,0.06,3700000,1586000 ( 75.0% ),602,260 ( 76.0% ),53746492900,8214182,16
126,2009-03-28,30,0.012,99,0.008,12491,0.005,0.205,15896000,12196000 ( 329.6% ),2565,1963 ( 326.1% ),53762388900,8216747,15
127,2009-03-29,30,0.012,93,0.008,11831,0.005,0.189,14156500,-1739500 ( -10.9% ),2238,-327 ( -12.7% ),53776545400,8218985,14
128,2009-03-30,25,0.011,71,0.007,9820,0.005,0.042,2555500,-11601000 ( -81.9% ),408,-1830 ( -81.8% ),53779100900,8219393,17
129,2009-03-31,27,0.011,67,0.006,9071,0.005,0.048,2672000,116500 ( 4.6% ),433,25 ( 6.1% ),53781772900,8219826,17
130,2009-04-01,23,0.01,61,0.006,8793,0.004,0.043,2410000,-262000 ( -9.8% ),382,-51 ( -11.8% ),53784182900,8220208,17
131,2009-04-02,13,0.005,23,0.002,2824,0.001,0.029,492500,-1917500 ( -79.6% ),83,-299 ( -78.3% ),53784675400,8220291,26
132,2009-04-03,13,0.005,32,0.003,4127,0.002,0.034,923500,431000 ( 87.5% ),141,58 ( 69.9% ),53785598900,8220432,23
133,2009-04-04,15,0.005,41,0.003,5014,0.002,0.09,2993000,2069500 ( 224.1% ),453,312 ( 221.3% ),53788591900,8220885,19
134,2009-04-05,15,0.006,44,0.004,5500,0.002,0.091,3310000,317000 ( 10.6% ),501,48 ( 10.6% ),53791901900,8221386,18
135,2009-04-06,12,0.005,27,0.003,3306,0.002,0.028,562000,-2748000 ( -83.0% ),94,-407 ( -81.2% ),53792463900,8221480,23
