,날짜,스크린수,스크린점유율,상영횟수,상영점유율,좌석수,좌석점유율,좌석판매율,매출액,매출액증감(전일대비),관객수,관객수증감(전일대비),누적매출액,누적관객수,순위
0,2019-04-23,1,0.0,1,0.0,624,0.0,1.0,9360000,9360000 ( 100.0% ),624,624 ( 100.0% ),9360000,624,23
1,2019-04-24,2760,0.571,12544,0.808,2039252,0.85,0.656,9678989600,9669629600 ( 103308.0% ),1338729,1338105 ( 214439.9% ),9688349600,1339353,1
2,2019-04-25,2759,0.55,12337,0.784,2013041,0.833,0.413,7148951550,-2530038050 ( -26.1% ),832180,-506549 ( -37.8% ),16837301150,2171533,1
3,2019-04-26,2796,0.562,12831,0.797,2084448,0.844,0.502,9735827020,2586875470 ( 36.2% ),1046691,214511 ( 25.8% ),26573128170,3218224,1
4,2019-04-27,2835,0.559,13397,0.793,2158840,0.837,0.77,14970007600,5234180580 ( 53.8% ),1662469,615778 ( 58.8% ),41543135770,4880693,1
5,2019-04-28,2833,0.564,13055,0.793,2108001,0.835,0.677,12812523680,-2157483920 ( -14.4% ),1427355,-235114 ( -14.1% ),54355659450,6308048,1
6,2019-04-29,2794,0.58,12415,0.809,2008497,0.85,0.235,4099535220,-8712988460 ( -68.0% ),471789,-955566 ( -66.9% ),58455194670,6779837,1
7,2019-04-30,2802,0.564,12584,0.802,2038658,0.845,0.27,4742333860,642798640 ( 15.7% ),551321,79532 ( 16.9% ),63197528530,7331158,1
8,2019-05-01,2508,0.484,11104,0.655,1855146,0.722,0.491,7425056550,2682722690 ( 56.6% ),911374,360053 ( 65.3% ),70622585080,8242532,1
9,2019-05-02,2458,0.508,10630,0.666,1780158,0.73,0.212,3212715990,-4212340560 ( -56.7% ),376822,-534552 ( -58.7% ),73835301070,8619354,1
10,2019-05-03,2490,0.509,11045,0.672,1845496,0.737,0.307,5164106910,1951390920 ( 60.7% ),567060,190238 ( 50.5% ),78999407980,9186414,1
11,2019-05-04,2443,0.434,10623,0.593,1791889,0.661,0.502,8137198240,2973091330 ( 57.6% ),899865,332805 ( 58.7% ),87136606220,10086279,1
12,2019-05-05,2430,0.424,10486,0.581,1770323,0.648,0.489,7892294930,-244903310 ( -3.0% ),866036,-33829 ( -3.8% ),95028901150,10952315,1
13,2019-05-06,2384,0.429,9958,0.575,1691751,0.646,0.378,5723056700,-2169238230 ( -27.5% ),639357,-226679 ( -26.2% ),100751957850,11591672,1
14,2019-05-07,2320,0.479,9295,0.613,1573192,0.677,0.104,1450057710,-4272998990 ( -74.7% ),164346,-475011 ( -74.3% ),102202015560,11756018,1
15,2019-05-08,2167,0.476,8662,0.584,1495810,0.655,0.08,1085222000,-364835710 ( -25.2% ),120161,-44185 ( -26.9% ),103287237560,11876179,1
16,2019-05-09,1677,0.33,6393,0.385,1149998,0.454,0.096,975749060,-109472940 ( -10.1% ),110547,-9614 ( -8.0% ),104262986620,11986726,1
17,2019-05-10,1702,0.33,6562,0.384,1177811,0.453,0.142,1577040950,601291890 ( 61.6% ),167809,57262 ( 51.8% ),105840027570,12154535,1
18,2019-05-11,1687,0.293,6557,0.361,1173130,0.428,0.302,3266295450,1689254500 ( 107.1% ),354219,186410 ( 111.1% ),109106323020,12508754,1
19,2019-05-12,1665,0.29,6308,0.355,1128727,0.42,0.258,2662203710,-604091740 ( -18.5% ),290778,-63441 ( -17.9% ),111768526730,12799532,1
20,2019-05-13,1537,0.32,5771,0.357,1045010,0.423,0.079,738237210,-1923966500 ( -72.3% ),82378,-208400 ( -71.7% ),112506763940,12881910,1
21,2019-05-14,1545,0.31,5639,0.349,1026149,0.417,0.068,623285230,-114951980 ( -15.6% ),69900,-12478 ( -15.1% ),113130049170,12951810,2
22,2019-05-15,936,0.177,3056,0.174,514769,0.189,0.121,544258900,-79026330 ( -12.7% ),62153,-7747 ( -11.1% ),113674308070,13013963,3
